frame,player_id,x_center,y_center
0,0,498,514
2,0,492,508
3,0,489,507
4,0,487,505
8,0,486,498
9,0,486,497
10,0,486,497
11,0,491,497
12,0,497,495
27,1,658,495
28,2,750,89
28,1,656,496
29,1,654,493
30,1,650,492
30,2,750,89
31,1,648,490
32,1,645,490
36,1,635,484
37,1,633,484
38,1,631,483
39,1,628,483
40,1,628,483
43,1,644,474
44,1,649,472
45,1,653,469
47,1,659,463
48,1,666,461
61,1,662,444
62,1,668,443
65,1,685,438
66,1,689,437
67,1,692,437
68,1,695,435
69,1,697,434
70,1,697,433
71,1,698,432
72,1,697,431
73,1,697,430
74,1,695,429
75,1,694,429
76,1,693,428
77,1,690,427
79,1,685,426
80,1,683,426
84,3,1130,125
86,1,683,418
87,1,691,417
88,1,697,416
89,1,702,416
90,1,707,415
91,1,710,413
92,1,712,412
93,1,715,411
94,1,718,411
95,1,718,409
96,1,719,407
97,1,719,407
98,1,719,406
99,1,718,405
100,1,716,404
101,1,714,402
102,1,711,401
103,1,708,401
104,1,705,400
105,1,700,398
106,1,697,397
107,1,693,396
109,1,684,395
110,4,1193,253
110,1,679,393
113,1,699,380
116,4,1164,260
118,5,739,348
120,5,745,338
121,5,747,335
122,5,747,332
128,5,772,334
129,5,777,335
130,5,780,339
131,5,784,343
132,5,788,345
132,6,1095,300
134,5,791,330
136,5,795,321
137,5,796,317
138,5,797,315
145,5,795,318
146,5,794,318
147,5,794,315
150,5,794,307
151,5,794,306
152,5,794,306
153,5,794,306
154,5,795,307
157,5,793,307
167,7,730,307
168,7,721,307
169,7,713,308
176,8,649,309
179,8,623,310
179,8,584,289
182,8,627,310
186,7,716,317
187,7,736,321
189,7,773,331
190,7,791,338
191,7,807,346
192,7,823,352
193,7,836,356
193,9,420,369
198,10,877,300
200,11,903,379
201,11,908,380
202,11,914,382
203,11,919,385
204,11,923,388
204,12,411,225
208,11,929,399
209,11,930,402
212,11,931,409
213,11,931,412
214,11,931,415
214,13,725,363
215,11,931,418
216,11,931,420
224,14,881,413
225,14,872,413
226,15,48,355
226,14,863,413
227,14,854,411
228,14,845,409
229,16,1047,106
229,14,837,409
230,16,1033,107
231,14,822,410
232,14,817,408
233,14,812,408
233,16,997,110
236,14,794,410
237,14,788,410
238,14,783,408
239,14,780,412
240,14,774,411
245,14,754,412
245,17,875,124
247,17,857,126
248,14,746,412
249,14,742,411
250,9,422,333
250,14,740,412
251,14,738,411
272,18,647,399
274,18,634,396
275,18,628,395
277,18,619,394
278,18,616,393
318,7,880,341
319,7,917,342
321,19,985,331
325,6,1099,320
326,6,1118,323
327,6,1139,322
328,6,1159,317
